epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,3257.43,0.96089,0.39322,0.76217,0.91452,0.71342,0.78019,0.54044,0.93751,0.37268,0.76041,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3298.93,0.95223,0.39042,0.76207,0.91393,0.71508,0.78114,0.54051,0.93716,0.37216,0.76037,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3340.36,0.95463,0.39157,0.76324,0.91377,0.71512,0.78106,0.54111,0.93624,0.37215,0.76017,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3381.9,0.94989,0.38893,0.76317,0.91728,0.71413,0.78162,0.54092,0.93643,0.37191,0.76003,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3423.41,0.95614,0.39062,0.7615,0.91887,0.71427,0.78164,0.54111,0.93714,0.37169,0.75996,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3465.32,0.95093,0.38815,0.76155,0.91934,0.71264,0.7823,0.54106,0.93622,0.37152,0.75995,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3507.06,0.94991,0.38692,0.76107,0.91846,0.71497,0.78292,0.54114,0.93568,0.37134,0.75999,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3548.65,0.93954,0.38435,0.76132,0.91717,0.71606,0.78216,0.54182,0.93563,0.37135,0.75994,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3590.28,0.94384,0.38516,0.76199,0.92063,0.71439,0.78295,0.54206,0.93552,0.37117,0.75981,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3632.1,0.94334,0.38487,0.76061,0.91911,0.71627,0.78328,0.5422,0.93507,0.371,0.75978,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3674.67,0.93954,0.38229,0.76119,0.9185,0.71652,0.78362,0.54237,0.93542,0.37091,0.75971,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3716.81,0.93643,0.38174,0.76051,0.91753,0.71705,0.78418,0.54303,0.93409,0.37023,0.75965,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3759.1,0.93348,0.38033,0.76051,0.91628,0.71709,0.7837,0.54307,0.93354,0.36979,0.75962,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,3801.39,0.92953,0.37946,0.76123,0.91699,0.71733,0.78374,0.54341,0.93355,0.36998,0.75957,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,3867.23,0.89648,0.36908,0.76178,0.91668,0.71756,0.78422,0.54298,0.93448,0.37092,0.75964,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,3908.36,0.88569,0.36379,0.76181,0.9154,0.71629,0.78342,0.54235,0.93514,0.37105,0.75968,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,3949.43,0.88275,0.36223,0.76195,0.91427,0.71709,0.78345,0.54248,0.93498,0.37097,0.75967,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,3990.67,0.88427,0.36121,0.76019,0.91653,0.71535,0.78307,0.542,0.93478,0.3712,0.75975,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4032.13,0.87954,0.35999,0.75939,0.9162,0.71563,0.78303,0.54231,0.93492,0.37169,0.75978,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4073.15,0.87277,0.35772,0.76052,0.91416,0.71714,0.7831,0.54263,0.93526,0.37122,0.75976,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4114.35,0.87513,0.35722,0.76001,0.91434,0.71751,0.78311,0.54249,0.93559,0.3716,0.75975,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4155.23,0.87048,0.35546,0.76044,0.9188,0.71592,0.78365,0.54271,0.93632,0.37161,0.75975,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4196.3,0.86947,0.35443,0.7582,0.91962,0.71569,0.7831,0.54268,0.93607,0.37137,0.75973,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4237.22,0.86469,0.35257,0.75922,0.91754,0.71584,0.78285,0.54248,0.93604,0.37136,0.75975,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
